#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
     273    0.963    0.037    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     274    0.964    0.036    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     275    0.964    0.036    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     276    0.964    0.036    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     277    0.964    0.036    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     278    0.964    0.036    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     279    0.964    0.036    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     280    0.964    0.036    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     281    0.964    0.036    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     282    0.965    0.035    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     283    0.965    0.035    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     284    0.965    0.035    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     285    0.965    0.035    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     286    0.965    0.035    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     287    0.965    0.035    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     288    0.965    0.035    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     289    0.965    0.035    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     290    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     291    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     292    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     293    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     294    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     295    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     296    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     297    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     298    0.966    0.034    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     299    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     300    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     301    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     302    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
