#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
     233    0.258    0.644    0.000    0.000    0.000    0.000    0.000    0.094    0.004    0.000
     234    0.256    0.645    0.000    0.000    0.000    0.000    0.000    0.094    0.004    0.000
     235    0.255    0.647    0.000    0.000    0.000    0.000    0.000    0.094    0.004    0.000
     236    0.254    0.648    0.000    0.000    0.000    0.000    0.000    0.093    0.004    0.000
     237    0.253    0.650    0.000    0.000    0.000    0.000    0.000    0.093    0.004    0.000
     238    0.252    0.651    0.000    0.000    0.000    0.000    0.000    0.092    0.004    0.000
     239    0.251    0.653    0.000    0.000    0.000    0.000    0.000    0.092    0.004    0.000
     240    0.250    0.654    0.000    0.000    0.000    0.000    0.000    0.092    0.004    0.000
     241    0.249    0.656    0.000    0.000    0.000    0.000    0.000    0.091    0.004    0.000
     242    0.248    0.657    0.000    0.000    0.000    0.000    0.000    0.091    0.004    0.000
     243    0.247    0.658    0.000    0.000    0.000    0.000    0.000    0.091    0.004    0.000
     244    0.246    0.660    0.000    0.000    0.000    0.000    0.000    0.090    0.004    0.000
     245    0.245    0.661    0.000    0.000    0.000    0.000    0.000    0.090    0.004    0.000
     246    0.244    0.663    0.000    0.000    0.000    0.000    0.000    0.089    0.004    0.000
     247    0.243    0.664    0.000    0.000    0.000    0.000    0.000    0.089    0.004    0.000
     248    0.242    0.665    0.000    0.000    0.000    0.000    0.000    0.089    0.004    0.000
     249    0.241    0.667    0.000    0.000    0.000    0.000    0.000    0.088    0.004    0.000
     250    0.240    0.668    0.000    0.000    0.000    0.000    0.000    0.088    0.004    0.000
     251    0.239    0.669    0.000    0.000    0.000    0.000    0.000    0.088    0.004    0.000
     252    0.238    0.671    0.000    0.000    0.000    0.000    0.000    0.087    0.004    0.000
     253    0.237    0.672    0.000    0.000    0.000    0.000    0.000    0.087    0.004    0.000
     254    0.236    0.673    0.000    0.000    0.000    0.000    0.000    0.087    0.004    0.000
     255    0.235    0.675    0.000    0.000    0.000    0.000    0.000    0.086    0.004    0.000
     256    0.234    0.676    0.000    0.000    0.000    0.000    0.000    0.086    0.004    0.000
     257    0.233    0.677    0.000    0.000    0.000    0.000    0.000    0.086    0.004    0.000
     258    0.233    0.678    0.000    0.000    0.000    0.000    0.000    0.085    0.004    0.000
     259    0.232    0.680    0.000    0.000    0.000    0.000    0.000    0.085    0.004    0.000
     260    0.231    0.681    0.000    0.000    0.000    0.000    0.000    0.085    0.004    0.000
     261    0.230    0.682    0.000    0.000    0.000    0.000    0.000    0.084    0.004    0.000
     262    0.229    0.683    0.000    0.000    0.000    0.000    0.000    0.084    0.004    0.000
     263    0.228    0.684    0.000    0.000    0.000    0.000    0.000    0.084    0.004    0.000
     264    0.227    0.686    0.000    0.000    0.000    0.000    0.000    0.083    0.004    0.000
